Position;;all;200_01;200_02;200_03;200_04;200_05;200_06;200_07;200_08;200_09;200_10;mean200;stabw200;500_01;500_02;500_03;mean500;stabw500;1000_01;1000_02;1000_03;mean1000;stabw1000;5000_01;5000_02;5000_03;mean5000;stabw5000;7712_01;7712_02;7712_03;mean7712;stabw7712
Anal Swab;Singeing;0.00215;0.000625;0.00425;0.0045;0.002375;0.003125;0.00125;0.0015;0.0005;0.002;0.00325;0.0023375;0.001417953;0.0022;0.00215;0.00235;0.002233333;0.000104083;0.001575;0.00155;0.00155;0.001558333;1.44E-05;0.002375;0.002425;0.0026;0.002466667;0.000118145;0.003025;0.001925;0.002075;0.002341667;0.000596518
Classification (Gloves);Singeing;0.027175;0.02425;0.02275;0.028;0.0215;0.0415;0.020625;0.023625;0.015125;0.033375;0.03625;0.0267;0.00806553;0.02065;0.02435;0.02335;0.022783333;0.001913984;0.01825;0.02575;0.018975;0.020991667;0.004136751;0.0221;0.026425;0.02945;0.025991667;0.003694111;0.018525;0.02285;0.01655;0.019308333;0.003222221
Classification (Railing);Singeing;0.08355;0.079125;0.048;0.07575;0.037375;0.078125;0.06125;0.06;0.05225;0.072125;0.061875;0.0625875;0.01391817;0.0695;0.07485;0.0696;0.071316667;0.003060365;0.069925;0.081975;0.076675;0.076191667;0.006039523;0.069375;0.0726;0.084425;0.075466667;0.007923948;0.094225;0.096825;0.0851;0.09205;0.006157668
Cooling chamber (Wall_A);Singeing;0.00015;0.001375;0.001375;0.001125;0.001125;0.000875;0.0005;0.0025;0.000875;0.000625;0.00175;0.0012125;0.00058645;0.00085;0.0008;0.0007;0.000783333;7.64E-05;0.000475;0.00035;0.000475;0.000433333;7.22E-05;0.000375;0.000425;0.00065;0.000483333;0.000146487;0.0004;0.001025;0.00085;0.000758333;0.000322426
Evisceration (Aprons);Singeing;0.01085;0.009625;0.0115;0.017125;0.0085;0.02025;0.01275;0.022375;0.019375;0.009125;0.013;0.0143625;0.005038894;0.008;0.01355;0.01525;0.012266667;0.003791548;0.00805;0.008025;0.00715;0.007741667;0.000512551;0.00995;0.0083;0.010725;0.009658333;0.001238531;0.010825;0.0088;0.009525;0.009716667;0.001026016
Evisceration (Gloves);Singeing;0.009875;0.00925;0.014375;0.01425;0.0115;0.01725;0.010125;0.0075;0.012875;0.01525;0.010125;0.01225;0.003056187;0.013;0.0074;0.00785;0.009416667;0.003111404;0.0091;0.00685;0.009025;0.008325;0.001277938;0.011625;0.01195;0.010475;0.01135;0.000775;0.007525;0.01135;0.0082;0.009025;0.002041599
Evisceration (Knifes);Singeing;0.00505;0.004375;0.007625;0.00525;0.009875;0.00725;0.0065;0.008125;0.00875;0.008875;0.007875;0.00745;0.001683457;0.00605;0.0064;0.006;0.00615;0.000217945;0.004475;0.004075;0.003975;0.004175;0.000264575;0.00525;0.004;0.004525;0.004591667;0.000627661;0.004425;0.006175;0.0045;0.005033333;0.000989423
Lock (Hands_A);Singeing;0.003175;0.006125;0.011;0.0075;0.003;0.003;0.009125;0.006375;0.006625;0.005375;0.00575;0.0063875;0.002461121;0.00355;0.00525;0.00455;0.00445;0.0008544;0.00285;0.003625;0.002975;0.00315;0.000416083;0.0034;0.002575;0.0036;0.003191667;0.000543331;0.0023;0.003425;0.00385;0.003191667;0.000800911
Lock (Shoes_A);Singeing;0.0074;0.010875;0.00475;0.006;0.002875;0.004375;0.003375;0.011625;0.00925;0.005;0.011875;0.007;0.003533078;0.0041;0.0054;0.0061;0.0052;0.001014889;0.005225;0.007575;0.003625;0.005475;0.001986832;0.005575;0.007175;0.004375;0.005708333;0.001404754;0.00725;0.005625;0.007525;0.0068;0.001026828
Polishing tunnel (Nozzles);Singeing;0.007175;0.01125;0.0165;0.013875;0.008125;0.014;0.011625;0.006125;0.013875;0.009;0.007875;0.011225;0.003358654;0.00725;0.00905;0.0085;0.008266667;0.000922406;0.006925;0.006975;0.00905;0.00765;0.001212693;0.008425;0.00895;0.00865;0.008675;0.000263391;0.00625;0.0089;0.0072;0.00745;0.001342572
