Position;step;solution;Set;raw;diff;logdiff;abwpro;logabwpro;diffsq;logdiffsq
Anal Swab;Singeing;total;S1;0.00215;0;0;0;0;0;0
Classification (Gloves);Singeing;total;S1;0.027175;0;0;0;0;0;0
Classification (Railing);Singeing;total;S1;0.08355;0;0;0;0;0;0
Cooling chamber (Wall_A);Singeing;total;S1;0.00015;0;0;0;0;0;0
Evisceration (Aprons);Singeing;total;S1;0.01085;0;0;0;0;0;0
Evisceration (Gloves);Singeing;total;S1;0.009875;0;0;0;0;0;0
Evisceration (Knifes);Singeing;total;S1;0.00505;0;0;0;0;0;0
Lock (Hands_A);Singeing;total;S1;0.003175;0;0;0;0;0;0
Lock (Shoes_A);Singeing;total;S1;0.0074;0;0;0;0;0;0
Polishing tunnel (Nozzles);Singeing;total;S1;0.007175;0;0;0;0;0;0
Polishing tunnel (Water);Singeing;total;S1;0.3978;0;0;0;0;0;0
Polishing tunnel (Whips);Singeing;total;S1;0.020075;0;0;0;0;0;0
Splitting saw;Singeing;total;S1;0.006975;0;0;0;0;0;0
Sticking;Singeing;total;S1;0.008275;0;0;0;0;0;0
Truck (Gloves);Singeing;total;S1;0.056225;0;0;0;0;0;0
Truck (Wall);Singeing;total;S1;0.0041;0;0;0;0;0;0
Unknown;Singeing;total;S1;0.35;0;0;0;0;0;0
Anal Swab;Polishing;total;S1;0.002575;0;0;0;0;0;0
Classification (Gloves);Polishing;total;S1;0.0251;0;0;0;0;0;0
Classification (Railing);Polishing;total;S1;0.2224;0;0;0;0;0;0
Cooling chamber (Wall_A);Polishing;total;S1;0.000175;0;0;0;0;0;0
Evisceration (Aprons);Polishing;total;S1;0.0058;0;0;0;0;0;0
Evisceration (Gloves);Polishing;total;S1;0.008875;0;0;0;0;0;0
Evisceration (Knifes);Polishing;total;S1;0.0028;0;0;0;0;0;0
Lock (Hands_A);Polishing;total;S1;0.001075;0;0;0;0;0;0
Lock (Shoes_A);Polishing;total;S1;0.004075;0;0;0;0;0;0
Polishing tunnel (Nozzles);Polishing;total;S1;0.0293;0;0;0;0;0;0
Polishing tunnel (Water);Polishing;total;S1;0.200175;0;0;0;0;0;0
Polishing tunnel (Whips);Polishing;total;S1;0.1609;0;0;0;0;0;0
Splitting saw;Polishing;total;S1;0.00775;0;0;0;0;0;0
Sticking;Polishing;total;S1;0.006325;0;0;0;0;0;0
Truck (Gloves);Polishing;total;S1;0.1148;0;0;0;0;0;0
Truck (Wall);Polishing;total;S1;0.00075;0;0;0;0;0;0
Unknown;Polishing;total;S1;0.207125;0;0;0;0;0;0
Anal Swab;Evisceration;total;S1;0.001725;0;0;0;0;0;0
Classification (Gloves);Evisceration;total;S1;0.030575;0;0;0;0;0;0
Classification (Railing);Evisceration;total;S1;0.229975;0;0;0;0;0;0
Cooling chamber (Wall_A);Evisceration;total;S1;0.00045;0;0;0;0;0;0
Evisceration (Aprons);Evisceration;total;S1;0.007775;0;0;0;0;0;0
Evisceration (Gloves);Evisceration;total;S1;0.008875;0;0;0;0;0;0
Evisceration (Knifes);Evisceration;total;S1;0.004075;0;0;0;0;0;0
Lock (Hands_A);Evisceration;total;S1;0.00195;0;0;0;0;0;0
Lock (Shoes_A);Evisceration;total;S1;0.0042;0;0;0;0;0;0
Polishing tunnel (Nozzles);Evisceration;total;S1;0.02045;0;0;0;0;0;0
Polishing tunnel (Water);Evisceration;total;S1;0.10905;0;0;0;0;0;0
Polishing tunnel (Whips);Evisceration;total;S1;0.164075;0;0;0;0;0;0
Splitting saw;Evisceration;total;S1;0.00825;0;0;0;0;0;0
Sticking;Evisceration;total;S1;0.004075;0;0;0;0;0;0
Truck (Gloves);Evisceration;total;S1;0.16825;0;0;0;0;0;0
Truck (Wall);Evisceration;total;S1;0.002;0;0;0;0;0;0
Unknown;Evisceration;total;S1;0.23425;0;0;0;0;0;0
Anal Swab;Classification;total;S1;0.0009;0;0;0;0;0;0
Classification (Gloves);Classification;total;S1;0.039475;0;0;0;0;0;0
Classification (Railing);Classification;total;S1;0.231125;0;0;0;0;0;0
Cooling chamber (Wall_A);Classification;total;S1;0.00045;0;0;0;0;0;0
Evisceration (Aprons);Classification;total;S1;0.005275;0;0;0;0;0;0
Evisceration (Gloves);Classification;total;S1;0.019025;0;0;0;0;0;0
Evisceration (Knifes);Classification;total;S1;0.0031;0;0;0;0;0;0
Lock (Hands_A);Classification;total;S1;0.0018;0;0;0;0;0;0
Lock (Shoes_A);Classification;total;S1;0.00555;0;0;0;0;0;0
Polishing tunnel (Nozzles);Classification;total;S1;0.031325;0;0;0;0;0;0
Polishing tunnel (Water);Classification;total;S1;0.126475;0;0;0;0;0;0
Polishing tunnel (Whips);Classification;total;S1;0.1263;0;0;0;0;0;0
Splitting saw;Classification;total;S1;0.007075;0;0;0;0;0;0
Sticking;Classification;total;S1;0.005725;0;0;0;0;0;0
Truck (Gloves);Classification;total;S1;0.185975;0;0;0;0;0;0
Truck (Wall);Classification;total;S1;0.00435;0;0;0;0;0;0
Unknown;Classification;total;S1;0.206075;0;0;0;0;0;0
Anal Swab;Truck;total;S1;0.00095;0;0;0;0;0;0
Classification (Gloves);Truck;total;S1;0.031525;0;0;0;0;0;0
Classification (Railing);Truck;total;S1;0.198575;0;0;0;0;0;0
Cooling chamber (Wall_A);Truck;total;S1;0.0013;0;0;0;0;0;0
Evisceration (Aprons);Truck;total;S1;0.017475;0;0;0;0;0;0
Evisceration (Gloves);Truck;total;S1;0.0072;0;0;0;0;0;0
Evisceration (Knifes);Truck;total;S1;0.0042;0;0;0;0;0;0
Lock (Hands_A);Truck;total;S1;0.005625;0;0;0;0;0;0
Lock (Shoes_A);Truck;total;S1;0.0056;0;0;0;0;0;0
Polishing tunnel (Nozzles);Truck;total;S1;0.014925;0;0;0;0;0;0
Polishing tunnel (Water);Truck;total;S1;0.11465;0;0;0;0;0;0
Polishing tunnel (Whips);Truck;total;S1;0.064775;0;0;0;0;0;0
Splitting saw;Truck;total;S1;0.010025;0;0;0;0;0;0
Sticking;Truck;total;S1;0.007;0;0;0;0;0;0
Truck (Gloves);Truck;total;S1;0.1464;0;0;0;0;0;0
Truck (Wall);Truck;total;S1;0.0048;0;0;0;0;0;0
Unknown;Truck;total;S1;0.364975;0;0;0;0;0;0
Anal Swab;Singeing;DS0200;S1;0.000625;0.001525;0.536558443;0.709302326;-0.149168616;2.33E-06;0.287894962
