location;solution;set;fehlerrate;trefferquote;solutionnum
Singeing;A0200;S1;0.3299;0.6701;200
Polishing;A0200;S1;0.4598;0.5402;200
Evisceration;A0200;S1;0.5272;0.4728;200
Classification;A0200;S1;0.51155;0.48845;200
Truck;A0200;S1;0.43605;0.56395;200
Singeing;A0200;S2;0.49635;0.50365;200
Polishing;A0200;S2;0.4995;0.5005;200
Evisceration;A0200;S2;0.45465;0.54535;200
Classification;A0200;S2;0.44135;0.55865;200
Truck;A0200;S2;0.3689;0.6311;200
Singeing;A0200;S3;0.3257;0.6743;200
Polishing;A0200;S3;0.5093;0.4907;200
Evisceration;A0200;S3;0.4697;0.5303;200
Classification;A0200;S3;0.4105;0.5895;200
Truck;A0200;S3;0.35515;0.64485;200
Singeing;A0200;S4;0.5078;0.4922;200
Polishing;A0200;S4;0.6486;0.3514;200
Evisceration;A0200;S4;0.56515;0.43485;200
Classification;A0200;S4;0.50455;0.49545;200
Truck;A0200;S4;0.4794;0.5206;200
Singeing;A0200;S5;0.396;0.604;200
Polishing;A0200;S5;0.56155;0.43845;200
Evisceration;A0200;S5;0.51815;0.48185;200
Classification;A0200;S5;0.4709;0.5291;200
Truck;A0200;S5;0.45415;0.54585;200
Singeing;A0200;S6;0.4056;0.5944;200
Polishing;A0200;S6;0.52235;0.47765;200
Evisceration;A0200;S6;0.45855;0.54145;200
Classification;A0200;S6;0.458;0.542;200
Truck;A0200;S6;0.38435;0.61565;200
Singeing;A0200;S7;0.40915;0.59085;200
Polishing;A0200;S7;0.4837;0.5163;200
Evisceration;A0200;S7;0.46585;0.53415;200
Classification;A0200;S7;0.44735;0.55265;200
Truck;A0200;S7;0.34145;0.65855;200
Singeing;A0200;S8;0.41435;0.58565;200
Polishing;A0200;S8;0.58935;0.41065;200
Evisceration;A0200;S8;0.5986;0.4014;200
Classification;A0200;S8;0.5224;0.4776;200
Truck;A0200;S8;0.40055;0.59945;200
Singeing;A0200;S9;0.4114;0.5886;200
Polishing;A0200;S9;0.5691;0.4309;200
Evisceration;A0200;S9;0.59785;0.40215;200
Classification;A0200;S9;0.4965;0.5035;200
Truck;A0200;S9;0.4235;0.5765;200
Singeing;A0200;S10;0.36025;0.63975;200
Polishing;A0200;S10;0.49485;0.50515;200
Evisceration;A0200;S10;0.43965;0.56035;200
Classification;A0200;S10;0.4485;0.5515;200
Truck;A0200;S10;0.35575;0.64425;200
Singeing;A0500;S1;0.2123;0.7877;500
Polishing;A0500;S1;0.25075;0.74925;500
Evisceration;A0500;S1;0.2543;0.7457;500
Classification;A0500;S1;0.19575;0.80425;500
Truck;A0500;S1;0.2584;0.7416;500
Singeing;A0500;S2;0.21985;0.78015;500
Polishing;A0500;S2;0.24945;0.75055;500
Evisceration;A0500;S2;0.21795;0.78205;500
Classification;A0500;S2;0.20035;0.79965;500
Truck;A0500;S2;0.21445;0.78555;500
Singeing;A0500;S3;0.22385;0.77615;500
Polishing;A0500;S3;0.25345;0.74655;500
Evisceration;A0500;S3;0.2151;0.7849;500
Classification;A0500;S3;0.1971;0.8029;500
Truck;A0500;S3;0.21945;0.78055;500
Singeing;A1000;S1;0.0872;0.9128;1000
Polishing;A1000;S1;0.15575;0.84425;1000
Evisceration;A1000;S1;0.13835;0.86165;1000
Classification;A1000;S1;0.16865;0.83135;1000
Truck;A1000;S1;0.0939;0.9061;1000
Singeing;A1000;S2;0.11815;0.88185;1000
Polishing;A1000;S2;0.17375;0.82625;1000
Evisceration;A1000;S2;0.1964;0.8036;1000
Classification;A1000;S2;0.2296;0.7704;1000
Truck;A1000;S2;0.08365;0.91635;1000
Singeing;A1000;S3;0.09295;0.90705;1000
Polishing;A1000;S3;0.15795;0.84205;1000
Evisceration;A1000;S3;0.10755;0.89245;1000
Classification;A1000;S3;0.2125;0.7875;1000
Truck;A1000;S3;0.13035;0.86965;1000
Singeing;A5000;S1;0.07115;0.92885;5000
Polishing;A5000;S1;0.11345;0.88655;5000
Evisceration;A5000;S1;0.06085;0.93915;5000
Classification;A5000;S1;0.12685;0.87315;5000
Truck;A5000;S1;0.1225;0.8775;5000
Singeing;A5000;S2;0.07905;0.92095;5000
Polishing;A5000;S2;0.09125;0.90875;5000
Evisceration;A5000;S2;0.0843;0.9157;5000
Classification;A5000;S2;0.13665;0.86335;5000
Truck;A5000;S2;0.07415;0.92585;5000
Singeing;A5000;S3;0.10445;0.89555;5000
Polishing;A5000;S3;0.1666;0.8334;5000
Evisceration;A5000;S3;0.14885;0.85115;5000
Classification;A5000;S3;0.1403;0.8597;5000
Truck;A5000;S3;0.0945;0.9055;5000
Singeing;A7712;S1;0.0876;0.9124;7712
Polishing;A7712;S1;0.13195;0.86805;7712
Evisceration;A7712;S1;0.0829;0.9171;7712
Classification;A7712;S1;0.25125;0.74875;7712
Truck;A7712;S1;0.1327;0.8673;7712
Singeing;A7712;S2;0.06585;0.93415;7712
Polishing;A7712;S2;0.06195;0.93805;7712
Evisceration;A7712;S2;0.0545;0.9455;7712
Classification;A7712;S2;0.0859;0.9141;7712
Truck;A7712;S2;0.0934;0.9066;7712
Singeing;A7712;S3;0.034;0.966;7712
Polishing;A7712;S3;0.1309;0.8691;7712
Evisceration;A7712;S3;0.06035;0.93965;7712
Classification;A7712;S3;0.16765;0.83235;7712
Truck;A7712;S3;0.09145;0.90855;7712
