location;solution;set;rate;solutionnum;diffunknown
Singeing;all;S1;0.35;10000;0
Polishing;all;S1;0.207125;10000;0
Evisceration;all;S1;0.23425;10000;0
Classification;all;S1;0.206075;10000;0
Truck;all;S1;0.364975;10000;0
Singeing;A0200;S1;0.498125;200;0.148125
Polishing;A0200;S1;0.410625;200;0.2035
Evisceration;A0200;S1;0.447375;200;0.213125
Classification;A0200;S1;0.439375;200;0.2333
Truck;A0200;S1;0.544375;200;0.1794
Singeing;A0200;S2;0.5445;200;0.1945
Polishing;A0200;S2;0.39675;200;0.189625
Evisceration;A0200;S2;0.422125;200;0.187875
Classification;A0200;S2;0.384375;200;0.1783
Truck;A0200;S2;0.4935;200;0.128525
Singeing;A0200;S3;0.4735;200;0.1235
Polishing;A0200;S3;0.397;200;0.189875
Evisceration;A0200;S3;0.41425;200;0.18
Classification;A0200;S3;0.3755;200;0.169425
Truck;A0200;S3;0.471875;200;0.1069
Singeing;A0200;S4;0.588;200;0.238
Polishing;A0200;S4;0.438375;200;0.23125
Evisceration;A0200;S4;0.447125;200;0.212875
Classification;A0200;S4;0.40425;200;0.198175
Truck;A0200;S4;0.552875;200;0.1879
Singeing;A0200;S5;0.501;200;0.151
Polishing;A0200;S5;0.4125;200;0.205375
Evisceration;A0200;S5;0.415875;200;0.181625
Classification;A0200;S5;0.404875;200;0.1988
Truck;A0200;S5;0.532125;200;0.16715
Singeing;A0200;S6;0.523125;200;0.173125
Polishing;A0200;S6;0.38675;200;0.179625
Evisceration;A0200;S6;0.4015;200;0.16725
Classification;A0200;S6;0.39175;200;0.185675
Truck;A0200;S6;0.537625;200;0.17265
Singeing;A0200;S7;0.518125;200;0.168125
Polishing;A0200;S7;0.39;200;0.182875
Evisceration;A0200;S7;0.433875;200;0.199625
Classification;A0200;S7;0.398;200;0.191925
Truck;A0200;S7;0.487875;200;0.1229
Singeing;A0200;S8;0.518125;200;0.168125
Polishing;A0200;S8;0.44225;200;0.235125
Evisceration;A0200;S8;0.447125;200;0.212875
Classification;A0200;S8;0.413375;200;0.2073
Truck;A0200;S8;0.51875;200;0.153775
Singeing;A0200;S9;0.524875;200;0.174875
Polishing;A0200;S9;0.44675;200;0.239625
Evisceration;A0200;S9;0.482;200;0.24775
Classification;A0200;S9;0.428125;200;0.22205
Truck;A0200;S9;0.53025;200;0.165275
Singeing;A0200;S10;0.473875;200;0.123875
Polishing;A0200;S10;0.357125;200;0.15
Evisceration;A0200;S10;0.38025;200;0.146
Classification;A0200;S10;0.38525;200;0.179175
Truck;A0200;S10;0.490625;200;0.12565
Singeing;A0500;S1;0.44385;500;0.09385
Polishing;A0500;S1;0.29795;500;0.090825
Evisceration;A0500;S1;0.34545;500;0.1112
Classification;A0500;S1;0.2831;500;0.077025
Truck;A0500;S1;0.46815;500;0.103175
Singeing;A0500;S2;0.4486;500;0.0986
Polishing;A0500;S2;0.31305;500;0.105925
Evisceration;A0500;S2;0.32425;500;0.09
Classification;A0500;S2;0.2968;500;0.090725
Truck;A0500;S2;0.4266;500;0.061625
Singeing;A0500;S3;0.45085;500;0.10085
Polishing;A0500;S3;0.31305;500;0.105925
Evisceration;A0500;S3;0.319;500;0.08475
Classification;A0500;S3;0.295;500;0.088925
Truck;A0500;S3;0.43055;500;0.065575
Singeing;A1000;S1;0.392825;1000;0.042825
Polishing;A1000;S1;0.238725;1000;0.0316
Evisceration;A1000;S1;0.285675;1000;0.051425
Classification;A1000;S1;0.263475;1000;0.0574
Truck;A1000;S1;0.389025;1000;0.02405
Singeing;A1000;S2;0.40825;1000;0.05825
Polishing;A1000;S2;0.24425;1000;0.037125
Evisceration;A1000;S2;0.287625;1000;0.053375
Classification;A1000;S2;0.2652;1000;0.059125
Truck;A1000;S2;0.39805;1000;0.033075
Singeing;A1000;S3;0.382375;1000;0.032375
Polishing;A1000;S3;0.225;1000;0.017875
Evisceration;A1000;S3;0.261725;1000;0.027475
Classification;A1000;S3;0.23275;1000;0.026675
Truck;A1000;S3;0.376525;1000;0.01155
Singeing;A5000;S1;0.35645;5000;0.00645
Polishing;A5000;S1;0.223275;5000;0.01615
Evisceration;A5000;S1;0.25705;5000;0.0228
Classification;A5000;S1;0.233875;5000;0.0278
Truck;A5000;S1;0.386875;5000;0.0219
Singeing;A5000;S2;0.3747;5000;0.0247
Polishing;A5000;S2;0.206725;5000;0.0004
Evisceration;A5000;S2;0.25145;5000;0.0172
Classification;A5000;S2;0.2346;5000;0.028525
Truck;A5000;S2;0.36445;5000;0.000525
Singeing;A5000;S3;0.3818;5000;0.0318
Polishing;A5000;S3;0.218225;5000;0.0111
Evisceration;A5000;S3;0.2671;5000;0.03285
Classification;A5000;S3;0.234075;5000;0.028
Truck;A5000;S3;0.36485;5000;0.000125
Singeing;A7712;S1;0.362525;7712;0.012525
Polishing;A7712;S1;0.22715;7712;0.020025
Evisceration;A7712;S1;0.254875;7712;0.020625
Classification;A7712;S1;0.2348;7712;0.028725
Truck;A7712;S1;0.367025;7712;0.00205
Singeing;A7712;S2;0.35745;7712;0.00745
Polishing;A7712;S2;0.207425;7712;0.0003
Evisceration;A7712;S2;0.24105;7712;0.0068
Classification;A7712;S2;0.220225;7712;0.01415
Truck;A7712;S2;0.378075;7712;0.0131
Singeing;A7712;S3;0.360725;7712;0.010725
Polishing;A7712;S3;0.233775;7712;0.02665
Evisceration;A7712;S3;0.253625;7712;0.019375
Classification;A7712;S3;0.222775;7712;0.0167
Truck;A7712;S3;0.3444;7712;0.020575
